dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heavy_Tails,0.5,100,Sandwich_HC4,0.954,0.0040000000000000036,0.4319290475242694,0.41793135968378375,500
Heavy_Tails,0.5,100,AKS_Adaptive,0.936,0.013999999999999901,0.3991065062188287,0.391309318575521,500
Heavy_Tails,0.5,100,AMRI_v1,0.942,0.008000000000000007,0.40441075900291207,0.39326219905911475,500
Heavy_Tails,0.5,100,AMRI_v2,0.942,0.008000000000000007,0.4022297396329242,0.3937470062098493,500
Heavy_Tails,0.5,500,Naive_OLS,0.968,0.018000000000000016,0.17625915477903648,0.17581603627059783,500
Heavy_Tails,0.5,500,Sandwich_HC3,0.966,0.016000000000000014,0.17576571407792943,0.17531075578865135,500
Heavy_Tails,0.5,500,Sandwich_HC4,0.966,0.016000000000000014,0.17835149103147646,0.17755874451828363,500
Heavy_Tails,0.5,500,AKS_Adaptive,0.968,0.018000000000000016,0.1767041879057462,0.17566515863612553,500
Heavy_Tails,0.5,500,AMRI_v1,0.966,0.016000000000000014,0.17796153015850363,0.17591057160176454,500
Heavy_Tails,0.5,500,AMRI_v2,0.968,0.018000000000000016,0.17647409176702758,0.17509040292886185,500
Heavy_Tails,1.0,100,Naive_OLS,0.946,0.0040000000000000036,0.2073448027091821,0.18739632411300616,500
Heavy_Tails,1.0,100,Sandwich_HC3,0.958,0.008000000000000007,0.20456319330037936,0.1754954238904659,500
Heavy_Tails,1.0,100,Sandwich_HC4,0.978,0.028000000000000025,0.2205369145254691,0.18739703049854878,500
Heavy_Tails,1.0,100,AKS_Adaptive,0.962,0.01200000000000001,0.215514986902546,0.18846467097039032,500
Heavy_Tails,1.0,100,AMRI_v1,0.966,0.016000000000000014,0.21306999179861594,0.18156369479220058,500
Heavy_Tails,1.0,100,AMRI_v2,0.962,0.01200000000000001,0.20773532970392672,0.17896292844165052,500
Heavy_Tails,1.0,500,Naive_OLS,0.96,0.010000000000000009,0.10683385123916299,0.09163414051446434,500
Heavy_Tails,1.0,500,Sandwich_HC3,0.96,0.010000000000000009,0.10148523533319125,0.0875709161351958,500
