dgp,category,n,delta,valid_reps,cov_naive,cov_robust,cov_amri,width_naive,width_robust,width_amri,avg_weight,pct_full_robust,pct_full_naive
Logistic_link,Logistic,300,0.75,1000,0.231,0.233,0.233,0.7665534394209018,0.75946914855388,0.7648680284769465,0.1544611551303063,0.048,0.667
Logistic_link,Logistic,300,1.0,1000,0.031,0.026,0.029,0.847957437181313,0.8247671525717077,0.8350869379082708,0.18411383801087416,0.063,0.638
Logistic_link,Logistic,1000,0.0,1000,0.946,0.944,0.947,0.3328463362766971,0.33296392158772165,0.3331855935736943,0.08244530721495616,0.014,0.787
Logistic_link,Logistic,1000,0.25,1000,0.656,0.66,0.659,0.3544140633273827,0.35571353092131314,0.3551503246820239,0.11870373388027917,0.033,0.74
Logistic_link,Logistic,1000,0.5,1000,0.112,0.112,0.113,0.3804898622005058,0.3813142899496215,0.3814028572165846,0.12745659111698027,0.031,0.716
Logistic_link,Logistic,1000,0.75,1000,0.0,0.0,0.0,0.4141429298896555,0.4121656348364387,0.4134958826178688,0.15232134969374883,0.054,0.683
Logistic_link,Logistic,1000,1.0,1000,0.0,0.0,0.0,0.45925802697315304,0.4483192765288686,0.45275154413034074,0.25184124963665344,0.12,0.559
Logistic_hetero,Logistic,100,0.0,1000,0.958,0.949,0.954,1.0839594027288866,1.0705579541006855,1.0820873137117588,0.07276552041486206,0.011,0.797
Logistic_hetero,Logistic,100,0.25,1000,0.951,0.949,0.952,1.0841755381395723,1.079650527394735,1.0847589874666534,0.0710268460495034,0.008,0.818
Logistic_hetero,Logistic,100,0.5,1000,0.921,0.92,0.921,1.0534318161450977,1.057774935866947,1.0585272229110005,0.07201584823016997,0.014,0.806
Logistic_hetero,Logistic,100,0.75,1000,0.877,0.886,0.879,1.016236904578477,1.0336922165104943,1.0249742130699828,0.07168598561647678,0.019,0.831
Logistic_hetero,Logistic,100,1.0,1000,0.79,0.8,0.79,0.9841848128601214,1.0075077841002134,0.9932759209513453,0.06778108645636033,0.011,0.841
Logistic_hetero,Logistic,300,0.0,1000,0.958,0.959,0.958,0.6134962410840697,0.6105546083329785,0.6129747311094564,0.07304381349706722,0.012,0.798
Logistic_hetero,Logistic,300,0.25,1000,0.946,0.94,0.946,0.6069222980641263,0.607896837548435,0.6080214420723646,0.06904010865301316,0.009,0.808
Logistic_hetero,Logistic,300,0.5,1000,0.903,0.904,0.905,0.5898414084085107,0.598748353367868,0.5944488147890064,0.09808626811068549,0.032,0.775
Logistic_hetero,Logistic,300,0.75,1000,0.777,0.789,0.781,0.5728265461713156,0.5887699972293656,0.5797068794686641,0.11973522293266312,0.034,0.735
Logistic_hetero,Logistic,300,1.0,1000,0.532,0.548,0.541,0.5491938800476821,0.5697201735386368,0.5569381378143529,0.12999130775540393,0.036,0.71
Logistic_hetero,Logistic,1000,0.0,1000,0.944,0.947,0.944,0.33272343763169726,0.3323684484318625,0.33268418869892685,0.06526052621806105,0.01,0.817
Logistic_hetero,Logistic,1000,0.25,1000,0.925,0.926,0.925,0.3295208201274577,0.33087547033692677,0.33024495997088443,0.08128638789431411,0.015,0.792
Logistic_hetero,Logistic,1000,0.5,1000,0.79,0.798,0.795,0.3205553675347914,0.3260736267976829,0.323000861758496,0.13904990638759893,0.041,0.707
Logistic_hetero,Logistic,1000,0.75,1000,0.395,0.419,0.408,0.30888738846239056,0.3182095477146568,0.3137090377795547,0.2514446442228955,0.093,0.551
Logistic_hetero,Logistic,1000,1.0,1000,0.122,0.134,0.128,0.2995463399298554,0.31089471280829617,0.3056345589708262,0.3202727660250612,0.133,0.436
Poisson_correct,Poisson,100,0.0,1000,0.936,0.919,0.924,0.3033800192373643,0.29300410838260804,0.29637088289892144,0.30398529296134463,0.153,0.519
Poisson_correct,Poisson,100,0.25,1000,0.951,0.938,0.944,0.3041444588319602,0.2943422565577073,0.298260587219369,0.2831424130884807,0.14,0.528
Poisson_correct,Poisson,100,0.5,1000,0.946,0.934,0.936,0.3037384161146082,0.29342683718931145,0.297421601389697,0.2679007930389955,0.144,0.55
Poisson_correct,Poisson,100,0.75,1000,0.949,0.938,0.942,0.30478549689603,0.2950021286989674,0.29908573908482217,0.2622075279562739,0.134,0.57
Poisson_correct,Poisson,100,1.0,1000,0.958,0.942,0.948,0.3042318257898204,0.29248288741449663,0.29739000458826187,0.26264402970334627,0.112,0.555
Poisson_correct,Poisson,300,0.0,1000,0.945,0.946,0.944,0.17312966003540567,0.1709183972638562,0.1717018439199748,0.2778491269614822,0.142,0.554
Poisson_correct,Poisson,300,0.25,1000,0.937,0.928,0.929,0.17336960767906684,0.17075225012461787,0.17188030072820337,0.30129020381270594,0.157,0.532
Poisson_correct,Poisson,300,0.5,1000,0.946,0.947,0.944,0.17290985427318092,0.1704590060695745,0.17140002685292105,0.2834573998132579,0.141,0.536
Poisson_correct,Poisson,300,0.75,1000,0.962,0.957,0.959,0.17319810799028146,0.1714525362349435,0.17237885239674283,0.295455685300029,0.163,0.542
Poisson_correct,Poisson,300,1.0,1000,0.969,0.961,0.962,0.1729524359675895,0.17099496375148024,0.17183991273081756,0.28005132142827865,0.152,0.554
Poisson_correct,Poisson,1000,0.0,1000,0.946,0.947,0.947,0.09462023409431776,0.0945129261627333,0.09469361898368768,0.3251218423693405,0.171,0.495
Poisson_correct,Poisson,1000,0.25,1000,0.949,0.945,0.945,0.09457247586385831,0.09406402745458306,0.09423576824353769,0.30147151277074125,0.152,0.523
Poisson_correct,Poisson,1000,0.5,1000,0.962,0.958,0.961,0.09462160507975267,0.09417545573647357,0.0943867747870024,0.3183434465032038,0.169,0.501
Poisson_correct,Poisson,1000,0.75,1000,0.951,0.95,0.949,0.09450796079385432,0.09416614475463672,0.0943365700482673,0.3245007994185855,0.184,0.493
Poisson_correct,Poisson,1000,1.0,1000,0.95,0.95,0.946,0.09442624460131083,0.0940044213892686,0.09418157014136876,0.2955277299510841,0.157,0.526
Poisson_overdispersed,Poisson,100,0.0,1000,0.937,0.93,0.931,0.3055765512448611,0.29793894364624746,0.3008412926121323,0.2545016399380776,0.127,0.577
Poisson_overdispersed,Poisson,100,0.25,1000,0.88,0.923,0.916,0.3044288296455597,0.354967798885312,0.34731531248494796,0.48564969510518197,0.34,0.352
Poisson_overdispersed,Poisson,100,0.5,1000,0.832,0.926,0.917,0.306991803517927,0.4089665674011421,0.4031967576880286,0.7658071313834766,0.664,0.141
Poisson_overdispersed,Poisson,100,0.75,1000,0.796,0.924,0.918,0.3041563889774541,0.445397928796075,0.44227990490001434,0.8964006666272719,0.816,0.05
Poisson_overdispersed,Poisson,100,1.0,1000,0.728,0.917,0.915,0.3051463459092612,0.4920660590044755,0.490579052491343,0.9572375769984549,0.928,0.021
Poisson_overdispersed,Poisson,300,0.0,1000,0.951,0.948,0.95,0.17372978612350248,0.17273082126356878,0.173494763214285,0.28789642682213423,0.146,0.537
Poisson_overdispersed,Poisson,300,0.25,1000,0.885,0.936,0.936,0.17355999179941042,0.2082038939931673,0.20687036219934854,0.835857579100463,0.75,0.098
Poisson_overdispersed,Poisson,300,0.5,1000,0.862,0.958,0.957,0.17371215896048534,0.24041617745665994,0.24033328668337223,0.9927236147275194,0.984,0.002
Poisson_overdispersed,Poisson,300,0.75,1000,0.796,0.932,0.932,0.17411368281986114,0.2689874703011876,0.2689874703011876,1.0,1.0,0.0
