dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heavy_Tails,0.75,100,Sandwich_HC3,0.9545,0.0045000000000000595,0.3938,0.3938,2000
Heavy_Tails,0.75,100,Sandwich_HC4,0.9675,0.01750000000000007,0.4265,0.4265,2000
Heavy_Tails,0.75,100,Sandwich_HC5,0.9605,0.010500000000000065,0.4035,0.4035,2000
Heavy_Tails,0.75,100,Pairs_Bootstrap,0.942,0.008000000000000007,0.3864,0.3864,500
Heavy_Tails,0.75,100,Wild_Bootstrap,0.934,0.015999999999999903,0.369,0.369,500
Heavy_Tails,0.75,100,Bootstrap_t,0.934,0.015999999999999903,0.4147,0.4147,500
Heavy_Tails,0.75,100,AKS_Adaptive,0.959,0.009000000000000008,0.4008,0.4008,2000
Heavy_Tails,0.75,100,AMRI_v1,0.962,0.01200000000000001,0.405,0.405,2000
Heavy_Tails,0.75,100,AMRI_v2,0.9595,0.009500000000000064,0.3996,0.3996,2000
Heavy_Tails,0.75,500,Naive_OLS,0.946,0.0040000000000000036,0.1756,0.1756,2000
Heavy_Tails,0.75,500,Sandwich_HC3,0.9475,0.0024999999999999467,0.1748,0.1748,2000
Heavy_Tails,0.75,500,Sandwich_HC4,0.9505,0.000500000000000056,0.1774,0.1774,2000
Heavy_Tails,0.75,500,Sandwich_HC5,0.948,0.0020000000000000018,0.1757,0.1757,2000
Heavy_Tails,0.75,500,Pairs_Bootstrap,0.932,0.017999999999999905,0.1724,0.1724,500
Heavy_Tails,0.75,500,Wild_Bootstrap,0.934,0.015999999999999903,0.1709,0.1709,500
Heavy_Tails,0.75,500,Bootstrap_t,0.93,0.019999999999999907,0.1742,0.1742,500
Heavy_Tails,0.75,500,AKS_Adaptive,0.95,0.0,0.177,0.177,2000
Heavy_Tails,0.75,500,AMRI_v1,0.953,0.0030000000000000027,0.1786,0.1786,2000
Heavy_Tails,0.75,500,AMRI_v2,0.9475,0.0024999999999999467,0.1757,0.1757,2000
Heavy_Tails,0.75,2000,Naive_OLS,0.9575,0.007500000000000062,0.0877,0.0877,2000
Heavy_Tails,0.75,2000,Sandwich_HC3,0.9565,0.006500000000000061,0.0874,0.0874,2000
Heavy_Tails,0.75,2000,Sandwich_HC4,0.9565,0.006500000000000061,0.0878,0.0878,2000
Heavy_Tails,0.75,2000,Sandwich_HC5,0.9565,0.006500000000000061,0.0876,0.0876,2000
Heavy_Tails,0.75,2000,Pairs_Bootstrap,0.944,0.006000000000000005,0.0862,0.0862,500
Heavy_Tails,0.75,2000,Wild_Bootstrap,0.946,0.0040000000000000036,0.0862,0.0862,500
Heavy_Tails,0.75,2000,Bootstrap_t,0.948,0.0020000000000000018,0.0863,0.0863,500
Heavy_Tails,0.75,2000,AKS_Adaptive,0.9595,0.009500000000000064,0.088,0.088,2000
Heavy_Tails,0.75,2000,AMRI_v1,0.962,0.01200000000000001,0.0892,0.0892,2000
Heavy_Tails,0.75,2000,AMRI_v2,0.957,0.007000000000000006,0.0876,0.0876,2000
Heavy_Tails,1.0,100,Naive_OLS,0.947,0.0030000000000000027,0.2196,0.2196,2000
Heavy_Tails,1.0,100,Sandwich_HC3,0.9545,0.0045000000000000595,0.2119,0.2119,2000
Heavy_Tails,1.0,100,Sandwich_HC4,0.969,0.019000000000000017,0.2276,0.2276,2000
Heavy_Tails,1.0,100,Sandwich_HC5,0.9595,0.009500000000000064,0.2164,0.2164,2000
Heavy_Tails,1.0,100,Pairs_Bootstrap,0.936,0.013999999999999901,0.2044,0.2044,500
