dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP1_nonlinearity,0.75,100,Bootstrap_t,2000,2000,0.933,0.005591,1.101252,1.010455,-0.006942,0.256352,0.251173,1.0
DGP1_nonlinearity,0.75,250,Naive_OLS,2000,2000,0.732,0.009904,0.362209,0.36175,-0.006511,0.163562,0.091951,1.0
DGP1_nonlinearity,0.75,250,Sandwich_HC0,2000,2000,0.938,0.005392,0.61592,0.601404,-0.006511,0.163562,0.156358,1.0
DGP1_nonlinearity,0.75,250,Sandwich_HC3,2000,2000,0.945,0.005098,0.634992,0.618616,-0.006511,0.163562,0.1612,1.0
DGP1_nonlinearity,0.75,250,Bayesian,2000,2000,0.732,0.009904,0.362209,0.36175,-0.006511,0.163562,0.091951,1.0
DGP1_nonlinearity,0.75,250,AMRI,2000,2000,0.9555,0.004611,0.666741,0.649546,-0.006511,0.163562,0.16926,1.0
DGP1_nonlinearity,0.75,250,Pairs_Bootstrap,2000,2000,0.9345,0.005532,0.608091,0.595504,-0.006511,0.163562,0.1559,1.0
DGP1_nonlinearity,0.75,250,Wild_Bootstrap,2000,2000,0.927,0.005817,0.600321,0.587914,-0.006511,0.163562,0.156224,1.0
DGP1_nonlinearity,0.75,250,Bootstrap_t,2000,2000,0.935,0.005512,0.659902,0.635636,-0.006511,0.163562,0.1612,1.0
DGP1_nonlinearity,0.75,500,Naive_OLS,2000,2000,0.7395,0.009814,0.255728,0.255484,-0.002758,0.113988,0.065079,1.0
DGP1_nonlinearity,0.75,500,Sandwich_HC0,2000,2000,0.949,0.004919,0.442857,0.43721,-0.002758,0.113988,0.112701,1.0
DGP1_nonlinearity,0.75,500,Sandwich_HC3,2000,2000,0.953,0.004732,0.449851,0.443494,-0.002758,0.113988,0.114481,1.0
DGP1_nonlinearity,0.75,500,Bayesian,2000,2000,0.7395,0.009814,0.255728,0.255484,-0.002758,0.113988,0.065079,1.0
DGP1_nonlinearity,0.75,500,AMRI,2000,2000,0.965,0.004109,0.472344,0.465669,-0.002758,0.113988,0.120205,1.0
DGP1_nonlinearity,0.75,500,Pairs_Bootstrap,2000,2000,0.948,0.004965,0.438656,0.433524,-0.002758,0.113988,0.112405,1.0
DGP1_nonlinearity,0.75,500,Wild_Bootstrap,2000,2000,0.947,0.00501,0.435786,0.431292,-0.002758,0.113988,0.112566,1.0
DGP1_nonlinearity,0.75,500,Bootstrap_t,2000,2000,0.9485,0.004942,0.45768,0.448645,-0.002758,0.113988,0.114481,1.0
DGP1_nonlinearity,0.75,1000,Naive_OLS,2000,2000,0.7215,0.010023,0.18061,0.18055,-0.000867,0.080297,0.046019,1.0
DGP1_nonlinearity,0.75,1000,Sandwich_HC0,2000,2000,0.9515,0.004804,0.31504,0.311625,-0.000867,0.080297,0.080271,1.0
DGP1_nonlinearity,0.75,1000,Sandwich_HC3,2000,2000,0.9565,0.004561,0.317537,0.313978,-0.000867,0.080297,0.080908,1.0
DGP1_nonlinearity,0.75,1000,Bayesian,2000,2000,0.7215,0.010023,0.18061,0.18055,-0.000867,0.080297,0.046019,1.0
DGP1_nonlinearity,0.75,1000,AMRI,2000,2000,0.9655,0.004081,0.333414,0.329677,-0.000867,0.080297,0.084953,1.0
DGP1_nonlinearity,0.75,1000,Pairs_Bootstrap,2000,2000,0.9495,0.004896,0.312872,0.30981,-0.000867,0.080297,0.080092,1.0
DGP1_nonlinearity,0.75,1000,Wild_Bootstrap,2000,2000,0.951,0.004827,0.311654,0.308476,-0.000867,0.080297,0.080173,1.0
DGP1_nonlinearity,0.75,1000,Bootstrap_t,2000,2000,0.948,0.004965,0.319387,0.315367,-0.000867,0.080297,0.080908,1.0
DGP1_nonlinearity,0.75,5000,Naive_OLS,2000,2000,0.7265,0.009967,0.080796,0.080791,-0.000685,0.036837,0.020607,1.0
DGP1_nonlinearity,0.75,5000,Sandwich_HC0,2000,2000,0.948,0.004965,0.14232,0.142082,-0.000685,0.036837,0.036298,1.0
DGP1_nonlinearity,0.75,5000,Sandwich_HC3,2000,2000,0.9485,0.004942,0.142549,0.142309,-0.000685,0.036837,0.036356,1.0
DGP1_nonlinearity,0.75,5000,Bayesian,2000,2000,0.7265,0.009967,0.080796,0.080791,-0.000685,0.036837,0.020607,1.0
DGP1_nonlinearity,0.75,5000,AMRI,2000,2000,0.9605,0.004355,0.149677,0.149425,-0.000685,0.036837,0.038174,1.0
