dgp,delta,n,method,B,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP3_heteroscedasticity,0.5,500,Sandwich_HC3,500,0.95,0.00974679434480897,0.20977290059481227,0.20666546142786524,-0.0020930004863501032,0.05102159656078632,0.05351447839079548,1.0
DGP3_heteroscedasticity,0.5,500,Pairs_Bootstrap,500,0.942,0.010453324829928518,0.20726279898963634,0.20556693303460272,-0.0020930004863501032,0.05102159656078632,0.053113249143335525,1.0
DGP3_heteroscedasticity,0.5,500,Bayesian_Normal,500,0.932,0.01125841907196565,0.1879509767852491,0.18764734992482768,-0.0021130785858003206,0.051021325374132113,0.04783102957050105,1.0
DGP3_heteroscedasticity,0.5,500,AMRI,500,0.948,0.009929350431926557,0.2141109078213959,0.21476264241788823,-0.0020930004863501032,0.05102159656078632,0.05448838488918014,1.0
DGP3_heteroscedasticity,1.0,100,Naive_OLS,500,0.85,0.015968719422671314,0.5062892712758252,0.501377217437895,0.0002543635751916133,0.1749174190571211,0.12756300692298944,1.0
DGP3_heteroscedasticity,1.0,100,Sandwich_HC3,500,0.938,0.010784804124322337,0.6818859207059251,0.6413490917015675,0.0002543635751916133,0.1749174190571211,0.1739536864158103,1.0
DGP3_heteroscedasticity,1.0,100,Pairs_Bootstrap,500,0.93,0.011410521460476728,0.6457691868731895,0.6191213258376262,0.0002543635751916133,0.1749174190571211,0.16626872046117563,1.0
DGP3_heteroscedasticity,1.0,100,Bayesian_Normal,500,0.85,0.015968719422671314,0.506262646069191,0.501355970707579,0.00015084285832582655,0.17489879799026328,0.12755629852205957,1.0
DGP3_heteroscedasticity,1.0,100,AMRI,500,0.942,0.010453324829928518,0.702797069655577,0.6723121177349718,0.0002543635751916133,0.1749174190571211,0.17707447609153354,1.0
DGP3_heteroscedasticity,1.0,500,Naive_OLS,500,0.866,0.015234434679370286,0.2263673774346754,0.22580598067485586,-0.0020144096011483715,0.07757262816359088,0.057607493768154175,1.0
DGP3_heteroscedasticity,1.0,500,Sandwich_HC3,500,0.942,0.010453324829928518,0.31539053389374966,0.3055083019737436,-0.0020144096011483715,0.07757262816359088,0.08045824728962114,1.0
DGP3_heteroscedasticity,1.0,500,Pairs_Bootstrap,500,0.938,0.010784804124322337,0.3101884932992557,0.30261284075177314,-0.0020144096011483715,0.07757262816359088,0.07953417215650345,1.0
DGP3_heteroscedasticity,1.0,500,Bayesian_Normal,500,0.866,0.015234434679370286,0.22636509423533588,0.22580356992747413,-0.0020344912229445862,0.07757151716301935,0.05760691272421927,1.0
DGP3_heteroscedasticity,1.0,500,AMRI,500,0.952,0.009559916317625384,0.3319138107591175,0.32156523232300965,-0.0020144096011483715,0.07757262816359088,0.08446766049753784,1.0
