dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true,avg_weight,pct_full_robust,pct_full_naive
DGP2_heavy_tails,1.0,250,AMRI_v2,2000,2000,0.957,0.004536,0.143253,0.117913,0.001154,0.067499,0.036366,1.0,0.6128,0.498,0.263
DGP2_heavy_tails,1.0,500,AMRI,2000,2000,0.9685,0.003906,0.106602,0.089738,0.00032,0.030619,0.027129,1.0,,,
DGP2_heavy_tails,1.0,500,AMRI_v2,2000,2000,0.9605,0.004355,0.103154,0.087635,0.00032,0.030619,0.026251,1.0,0.689,0.596,0.216
DGP2_heavy_tails,1.0,1000,AMRI,2000,2000,0.962,0.004275,0.075428,0.066654,0.000288,0.020053,0.019219,1.0,,,
DGP2_heavy_tails,1.0,1000,AMRI_v2,2000,2000,0.9545,0.00466,0.0728,0.064976,0.000288,0.020053,0.018549,1.0,0.76,0.6825,0.1615
DGP2_heavy_tails,1.0,5000,AMRI,2000,2000,0.963,0.004221,0.037089,0.03274,5.2e-05,0.010561,0.009459,1.0,,,
DGP2_heavy_tails,1.0,5000,AMRI_v2,2000,2000,0.9575,0.004511,0.035615,0.031563,5.2e-05,0.010561,0.009083,1.0,0.864,0.809,0.087
DGP3_heteroscedastic,0.0,50,AMRI,2000,2000,0.9445,0.00512,0.590002,0.5756,0.002067,0.14648,0.14672,1.0,,,
DGP3_heteroscedastic,0.0,50,AMRI_v2,2000,2000,0.9445,0.00512,0.590236,0.58009,0.002067,0.14648,0.146779,1.0,0.1575,0.0505,0.6755
DGP3_heteroscedastic,0.0,100,AMRI,2000,2000,0.9545,0.00466,0.405399,0.400701,0.002045,0.100093,0.102143,1.0,,,
DGP3_heteroscedastic,0.0,100,AMRI_v2,2000,2000,0.953,0.004732,0.404413,0.401104,0.002045,0.100093,0.101895,1.0,0.1509,0.049,0.695
DGP3_heteroscedastic,0.0,250,AMRI,2000,2000,0.9485,0.004942,0.250896,0.249865,0.000367,0.063952,0.063693,1.0,,,
DGP3_heteroscedastic,0.0,250,AMRI_v2,2000,2000,0.9475,0.004987,0.250543,0.250112,0.000367,0.063952,0.063603,1.0,0.1473,0.044,0.6855
